rotten_id	title	year	mpaa_rating	runtime	release_theater	release_dvd	critics_rating	critics_score	audience_rating	audience_score	reviews_num
770802627	An Education	2009	PG-13	101	2009-10-09	2010-03-30	94	Certified Fresh	80	Upright	182
770804709	Law Abiding Citizen	2009	R	109	2009-10-16	2010-02-16	25	Rotten	75	Upright	156
770798701	The Stepfather	2009	PG-13	103	2009-10-16	2010-02-09	11	Rotten	35	Spilled	62
770671948	Where the Wild Things Are	2009	PG	101	2009-10-16	2010-03-02	73	Fresh	57	Spilled	257
770800373	Black Dynamite	2009	R	84	2009-10-16	2010-02-16	85	Certified Fresh	85	Upright	60
770807523	Love the Beast	2008	R	92	2009-03-12	2010-07-13	59	Rotten	73	Upright	23
770795561	Amelia	2009	PG	111	2009-10-23	2010-02-02	20	Rotten	31	Spilled	158
770681511	Astro Boy (AstroBoy)	2009	PG	94	2009-10-23	2010-03-16	49	Rotten	51	Spilled	133
770767597	Cirque du Freak: The Vampire's Assistant	2009	PG-13	109	2009-10-23	2010-02-23	38	Rotten	42	Spilled	136
770797724	Saw VI	2009	R	91	2009-10-23	2010-01-26	37	Rotten	56	Spilled	74
770790179	Antichrist	2009	Unrated	104	2009-10-23	2010-03-01	48	Rotten	55	Spilled	159
770782720	Ong Bak 2	2008	R	115	2009-10-23	2010-02-02	48	Rotten	54	Spilled	67
770802360	Motherhood	2009	PG-13	90	2009-10-23	2010-02-23	19	Rotten	17	Spilled	52
771246543	Frozen	2013	PG	85	2013-11-27	2014-03-18	89	Certified Fresh	89	Upright	179
314387382	The Marine	2006	PG-13	93	2006-10-13	2007-01-30	20	Rotten	61	Upright	51
770814825	Michael Jackson's This Is It	2009	PG	121	2009-10-28	2010-01-26	81	Certified Fresh	82	Upright	180
770807373	The Boondock Saints II: All Saints Day	2009	R	87	2009-10-30	2010-03-09	23	Rotten	58	Spilled	44
770686462	Gentlemen Broncos	2009	PG-13	89	2009-10-30	2010-03-02	19	Rotten	41	Spilled	80
770794272	Skin	2008	PG-13	107	2009-10-30	2011-02-01	85	Certified Fresh	79	Upright	65
770686237	The Box	2009	PG-13	116	2009-11-06	2010-02-23	45	Rotten	23	Spilled	150
770679843	Disney's A Christmas Carol	2009	PG	96	2009-11-06	2010-11-16	54	Rotten	58	Spilled	190
770814360	The Fourth Kind	2009	PG-13	98	2009-11-06	2010-03-16	19	Rotten	41	Spilled	111
770790932	The Men Who Stare at Goats	2009	R	94	2009-11-06	2010-03-23	52	Rotten	39	Spilled	204
770805172	That Evening Sun	2009	PG-13	110	2009-11-06	2010-04-01	81	Fresh	78	Upright	36
770803691	Precious: Based on the Novel Push by Sapphire	2008	R	110	2009-11-06	2010-03-09	91	Certified Fresh	81	Upright	219
770795544	2012	2009	PG-13	158	2009-11-13	2010-03-02	39	Rotten	47	Spilled	241
770783550	Pirate Radio (The Boat That Rocked)	2009	R	117	2009-11-13	2010-04-13	61	Fresh	71	Upright	157
770780130	The Messenger	2009	R	113	2009-11-13	2010-05-18	90	Certified Fresh	75	Upright	154
770682649	Uncertainty	2008	PG	101	2009-11-13	2010-04-20	50	Rotten	33	Spilled	27
770805153	Lesbian Vampire Killers	2008	R	88	2009-03-16	2009-12-29	27	Rotten	33	Spilled	24
770802544	The Young Victoria	2009	PG	105	2009-12-18	2010-04-20	76	Certified Fresh	74	Upright	146
770685760	Fantastic Mr. Fox	2009	PG	87	2009-11-25	2010-03-23	93	Certified Fresh	84	Upright	211
770808362	The Blind Side	2009	PG-13	129	2009-11-20	2010-03-23	66	Fresh	85	Upright	196
770801331	The Twilight Saga: New Moon	2009	PG-13	130	2009-11-20	2010-03-20	28	Rotten	61	Upright	225
770782178	Planet 51	2009	PG	91	2009-11-20	2010-03-09	21	Rotten	40	Spilled	109
770770202	Broken Embraces	2009	R	128	2009-11-20	2010-03-16	82	Certified Fresh	74	Upright	146
770780587	Ninja Assassin	2009	R	99	2009-11-25	2010-03-16	26	Rotten	54	Spilled	115
770785550	Old Dogs	2009	PG	88	2009-11-25	2010-03-09	5	Rotten	44	Spilled	112
770682613	Me and Orson Welles	2010	PG-13	119	2009-11-25	2010-07-01	85	Certified Fresh	61	Upright	154
770782192	The Road	2009	R	111	2009-11-25	2010-05-25	75	Certified Fresh	68	Upright	200
770813935	St Trinian's II: The Legend of Fritton's Gold	2009	Unrated	106	2009-12-31	2014-02-10	10	Rotten	45	Spilled	22
770785945	Armored	2009	PG-13	88	2009-12-04	2010-03-16	41	Rotten	31	Spilled	54
770790323	Brothers	2009	R	110	2009-12-04	2010-03-23	63	Fresh	62	Upright	151
770790132	Everybody's Fine	2009	PG-13	100	2009-12-04	2010-02-23	46	Rotten	54	Spilled	137
770679590	Transylmania	2009	R	92	2009-12-04	2010-04-27	0	Rotten	21	Spilled	20
770790933	Up in the Air	2009	R	109	2009-12-04	2010-03-09	91	Certified Fresh	79	Upright	264
770810965	Invictus	2009	PG-13	134	2009-12-11	2010-05-18	76	Certified Fresh	75	Upright	232
770808473	A Single Man	2009	R	101	2009-12-11	2010-07-06	85	Certified Fresh	81	Upright	178
770675616	The Lovely Bones	2009	PG-13	135	2009-12-11	2010-04-20	32	Rotten	52	Spilled	232
770801608	Crazy Heart	2009	R	112	2009-12-16	2010-04-20	91	Certified Fresh	76	Upright	200
665118753	Avatar	2009	PG-13	162	2009-12-18	2010-04-22	83	Certified Fresh	82	Upright	293
770783485	Nine	2009	PG-13	113	2009-12-25	2010-05-04	37	Rotten	37	Spilled	195
770805259	Alvin and the Chipmunks: The Squeakquel	2009	PG	88	2009-12-23	2010-03-30	21	Rotten	50	Spilled	84
770783613	The Last Station	2009	R	113	2010-01-15	2010-06-22	71	Fresh	67	Upright	139
770814954	It's Complicated	2009	R	120	2009-12-25	2010-04-27	56	Rotten	60	Upright	176
770796118	Sherlock Holmes	2009	PG-13	129	2009-12-25	2010-03-30	70	Fresh	77	Upright	234
770683433	The Imaginarium of Doctor Parnassus	2009	PG-13	123	2009-12-25	2010-04-27	64	Fresh	60	Upright	190
770808692	The White Ribbon (Das weisse Band)	2009	R	144	2009-12-30	2010-06-29	85	Certified Fresh	78	Upright	136
770791775	The Loss of a Teardrop Diamond	2008	PG-13	102	2009-12-30	2010-09-07	25	Rotten	40	Spilled	41
770811074	Sweetgrass	2009	Unrated	105	2009-09-26	2010-08-03	96	Certified Fresh	67	Upright	59
770783685	Daybreakers	2009	R	98	2010-01-08	2010-05-11	67	Fresh	49	Spilled	140
770782193	Youth in Revolt	2010	R	90	2010-01-08	2010-06-15	66	Fresh	53	Spilled	163
770783512	Bitch Slap	2010	R	104	2010-01-08	2010-03-02	31	Rotten	29	Spilled	16
770818583	Crazy on the Outside	2010	PG-13	96	2010-01-08	2010-04-13	8	Rotten	29	Spilled	12
770856020	Waiting for Armageddon	2008	Unrated	74	2010-01-08	2010-05-18	79	Fresh	41	Spilled	19
770806337	Wonderful World	2009	R	89	2010-01-08	2010-03-16	38	Rotten	33	Spilled	29
770804147	The Book of Eli	2010	R	118	2010-01-15	2010-06-15	48	Rotten	64	Upright	192
770807290	The Spy Next Door	2010	PG	94	2010-01-15	2010-05-18	12	Rotten	40	Spilled	96
770807379	44 Inch Chest	2009	R	94	2010-01-29	2010-04-20	40	Rotten	36	Spilled	81
770808845	Fish Tank	2009	Unrated	124	2010-01-15	2010-03-22	90	Certified Fresh	79	Upright	142
770818424	Extraordinary Measures	2010	PG	106	2010-01-22	2010-05-18	28	Rotten	54	Spilled	138
770784236	Legion	2010	R	100	2010-01-22	2010-05-11	20	Rotten	31	Spilled	101
770800781	Creation	2009	PG-13	108	2010-01-22	2010-06-29	45	Rotten	49	Spilled	111
770806389	To Save a Life	2010	PG-13	120	2010-01-22	2010-08-03	33	Rotten	83	Upright	21
770814484	Soundtrack For A Revolution	2009	Unrated	81	2009-08-07	2010-09-28	88	Fresh	78	Upright	16
770797691	Edge of Darkness	2010	R	108	2010-01-29	2010-05-11	58	Rotten	49	Spilled	223
770801761	When in Rome	2010	PG-13	91	2010-01-29	2010-06-15	16	Rotten	41	Spilled	112
770815700	Preacher's Kid	2010	PG-13	111	2010-01-29	2010-05-04	50	Rotten	64	Upright	6
770808469	Saint John of Las Vegas	2009	R	85	2010-01-29	2010-07-13	23	Rotten	28	Spilled	52
770811529	Ajami	2009	Unrated	120	2010-02-03	2010-08-24	97	Certified Fresh	81	Upright	65
770795974	Dear John	2010	PG-13	109	2010-02-05	2010-05-25	28	Rotten	55	Spilled	134
770801768	From Paris with Love	2010	R	92	2010-02-05	2010-06-08	37	Rotten	54	Spilled	154
770856799	Frozen	2010	R	94	2010-02-05	2010-09-28	62	Fresh	46	Spilled	91
770682653	San suk si gin (The Shinjuku Incident)	2009	R	119	2009-03-01	2010-06-08	60	Fresh	67	Upright	5
770783497	Terribly Happy (Frygtelig lykkelig)	2008	PG	102	2010-02-01	2010-07-13	91	Certified Fresh	74	Upright	45
770803844	Banlieue 13 - Ultimatum (District 13: Ultimatum)	2009	R	100	2009-02-05	2010-04-27	74	Fresh	54	Spilled	70
